city,count
Dublin,65658
Cork,10616
galway,5406
Limerick,5005
Waterford,2214
Wexford,1939
kildare,1631
kilkenny,1594
Sligo,1329
Carlow,1120
Drogheda,1095
Dundalk,994
Tipperary,992
Donegal,920
cavan,887
Tralee,873
athlone,857
Navan,856
Ennis,800
Wicklow,768
letterkenny,767
Mullingar,655
naas,576
Killarney,536
monaghan,535
Castlebar,531
Tullamore,525
longford,522
portlaoise,515
Roscommon,383
Bray,359
Clonmel,341
Ballina,307
derry,246
Swords,217
Nenagh,206
central,205
newbridge,192
celbridge,192
Maynooth,173
Arklow,169
Thurles,164
louth,154
Westport,151
tallaght,151
Lucan,148
Gorey,137
Trim,124
Kells,120
Birr,114
Leitrim,113
Balbriggan,111
Listowel,108
Portarlington,103
Ashbourne,103
Shannon,102
greystones,95
Cobh,94
clare,92
Athy,92
Lusk,91
leixlip,85
Claremorris,84
Enniscorthy,81
Tuam,81
New,Ross
Mallow,72
Carrickmacross,69
carrick-on-shannon,69
Kilcock,68
Blanchardstown,66
Edenderry,60
Cahir,59
Ardee,58
cashel,58
Dungarvan,56
Ballinasloe,55
Boyle,54
Clane,47
Kenmare,46
Enfield,45
Buncrana,45
Malahide,44
Sandyford,43
Clondalkin,43
Strandhill,43
Bandon,42
Castlerea,42
Roscrea,41
Ratoath,41
D?n,Laoghaire
Killorglin,39
Kilrush,38
Blessington,37
Stradbally,36
Scotland,34
Dundrum,34
Ballybofey,33
Fermoy,33
Newcastle,32
Rathcoole,31
london,31
Donabate,30
Bettystown,29
Rathfarnham,29
Mountmellick,27
Charleville,27
dun,laoghaire
Templemore,27
mumbai,27
Athboy,26
Loughrea,26
Mayo,26
Midleton,25
Swinford,25
Carrick,25
new,york
Banagher,25
virginia,23
Dunboyne,23
Moate,23
belfast,22
Gort,22
Mountrath,22
Ballyfermot,22
Bantry,22
Youghal,21
clonsilla,21
Skibbereen,21
Clontarf,21
Ballincollig,20
Athenry,20
Clones,20
Ballyjamesduff,20
Portmarnock,20
blackrock,20
Monasterevan,19
delhi,19
Macroom,19
Boston,19
Kazan,19
chennai,19
Carndonagh,19
tramore,19
crumlin,18
Abbeyleix,18
Delgany,18
Dingle,18
Duleek,18
Rathcormac,18
Sallins,18
Mullinahone,18
Tullow,18
Lismore,18
Clonakilty,18
lifford,18
Straffan,18
Kilcullen,18
Floral,Park
Clara,17
Abbeyfeale,17
Dunshaughlin,17
bangalore,16
castleblayney,16
Coleraine,16
Ballinteer,16
Baldoyle,16
Kinsale,16
Douglas,16
Belmullet,16
Kinnegad,15
Rush,15
Ballymena,15
Clarecastle,15
Ballsbridge,15
Killiney,15
Ballyconnell,15
Bundoran,15
Cabra,15
Castleisland,14
Dalkey,14
LAHORE,14
kolkata,14
Clonee,14
Finglas,14
Stillorgan,14
Rathmines,14
Quin,14
Edgeworthstown,14
Santry,14
Killaloe,14
Kilmallock,14
Island,13
ireland,13
Shankill,13
Oldcastle,13
Glenties,13
Rochestown,13
Ballinrobe,13
Newcastle,West
Castleknock,12
Glenville,12
Drumcondra,12
Bangor,Erris
Oranmore,12
Ballaghaderreen,12
Kinlough,12
Saggart,12
Bunclody,12
Ballybay,12
Kanturk,11
hyderabad,11
Skerries,11
Artane,11
dubai,11
Glenamaddy,11
Cabinteely,11
Kingscourt,11
Carrick-On-Suir,11
Carrigtwohill,11
Sixmilebridge,11
Newmarket,On
Rathnew,11
Curragh,11
Ballyhaunis,11
Bawnboy,10
Sandymount,10
Slane,10
tipp,10
Monkstown,10
Terenure,10
Kilkee,10
Carrigaline,10
Carlingford,10
Scariff,10
Ballymakeery,10
Ballymun,10
Athgarvan,10
jakarta,10
Kilcoole,9
cairo,9
Laytown,9
Tinahely,9
Mitchelstown,9
Adare,9
karachi,9
Castlebridge,9
india,9
Cootehill,9
Dunmanway,8
Ballyneety,8
Ardara,8
Thomastown,8
Howth,8
Carnew,8
Kerry,8
Ballymoney,8
pune,8
Bailieborough,8
Foynes,8
Castledermot,8
Ballyshannon,8
Schenectady,8
Ashford,8
Watergrasshill,8
Rathangan,7
Riyadh,7
Urlingford,7
Passage,West
Lagos,7
Doneraile,7
Taghmon,7
Ballivor,7
Ballymahon,7
Colbinstown,7
Manorhamilton,7
Drumshanbo,7
Ballyboden,7
Rathmolyon,7
Kilbeggan,7
Aghavas,7
Mayo,Abbey
Crossmolina,7
Knock,7
Dunmore,East
Coolock,6
Cappoquin,6
Kilcormac,6
Kiltimagh,6
jeddah,6
accra,6
moville,6
Dunleer,6
Collon,6
Ballybunion,6
hyd,6
Aberdeen,6
Donadea,6
Claregalway,6
birmingham,6
Castleconnell,6
Leopardstown,6
Ardfert,6
Kilmainham,6
manchester,6
Booterstown,6
Gweedore,6
Dromod,6
Mankato,6
Alden,6
Monasterevin,6
Charlestown,6
Cahersiveen,6
egypt,6
Dromahair,6
Tubbercurry,6
Bagenalstown,6
Dungloe,6
ankara,6
Baltinglass,6
loughlinstown,6
Dunlavin,5
Portumna,5
Ballynacargy,5
Niagara,Falls
shenzhen,5
meath,5
los,angeles
Belturbet,5
Amherst,5
Arlington,5
Corrandulla,5
Termonfeckin,5
newry,5
TEHRAN,5
izmir,5
Lanesborough,5
Killybegs,5
Shillelagh,5
Ballycastle,5
stockholm,5
Hospital,5
Spain,5
Granard,5
Shenandoah,5
Drumkeerin,5
Kilcolgan,5
Clonaslee,5
Baltimore,5
china,5
Kill,5
Longwood,5
Albany,5
Courtown,5
Cornafean,5
washington,5
Rockcorry,5
Askeaton,5
Newbliss,5
laois,5
Ballaghadereen,4
Far,Rockaway
Foxrock,4
Kilpedder,4
dublin,city
Ballymore,Eustace
Glen,Oaks
Woodstown,4
offaly,4
miami,4
Rathdowney,4
Rhode,4
Mc,Lean
guangdong,4
lucknow,4
athens,4
Lisdoonvarna,4
Redhills,4
Ballymote,4
Foxford,4
Ballymount,4
oslo,4
Bruff,4
Ballyragget,4
Avoca,4
Donnybrook,4
Inver,4
Newport,4
Durrus,4
Alamo,4
new,delhi
Castlemartyr,4
Gowran,4
shanghai,4
Saints,Island
ahmedabad,4
belgrade,4
Cape,Town
Carrick,On
Ramelton,4
jaipur,4
Atlanta,4
Shercock,4
Farranfore,4
Portlaw,4
Blackpool,4
jinan,4
alex,4
Nobber,4
Sheffield,4
Collooney,4
Balla,4
Kinderhook,4
Paris,4
Ballyvaughan,4
Julianstown,3
Hollymount,3
Greencastle,3
Aughrim,3
Cathair,3
turkey,3
Dayton,3
Allenton,3
Tulla,3
Strokestown,3
Inniskeen,3
Innishannon,3
Newtown,3
Smithfield,3
Freshford,3
istanbul,3
Belzoni,3
johannesburg,3
Kiskeam,3
Quinsborough,3
Abu,dHABI
Sneem,3
Ballybrack,3
Bagdad,3
Long,Island
Lettermore,3
Ackworth,3
Helsinki,3
Melbourne,3
butler,3
Schull,3
Lehinch,3
Walkinstown,3
Culdaff,3
Rathgar,3
bangalore,india,3
Allenwood,3
thailand,3
singapore,3
philippines,3
Mohill,3
Tarbert,3
Glasnevin,3
Daingean,3
Cumberland,3
colombo,3
Derrinturn,3
Milford,3
Malin,3
Indianapolis,3
ARMAGH,3
Springfield,3
sydney,3
Dunmore,3
Turloughmore,3
any,3
Falcarragh,3
dammam,3
noida,3
Ranelagh,3
Binghamton,3
islamabad,3
Bayamon,3
toronto,3
Durban,3
antalya,3
Kilmore,3
cambridge,3
Rathdrum,3
Coolaney,3
Ballybunnion,3
Tobercurry,3
dhaka,3
Donard,3
prosperous,2
DOHA,2
peermahal,2
Cratloe,2
peshawar,2
Scarriff,2
Holland,Drive
Dublin,2
georgia,2
Killashandra,2
Grey,Rock
Leamlara,2
Dudlin,2
Ashland,2
Cedar,Rapids
Wilmington,2
guilin,2
malaysia,2
lincoln,2
Alaska,2
fairfield,2
petrosani,2
Doonbeg,2
Nurney,2
Barna,2
Castlemaine,2
Clogherhead,2
Stepaside,2
Dromore,2
Bridge,End
Carson,2
Kilgarvan,2
Bloomfield,2
irland,2
Mullagh,2
ludhiana,2
Ennistimon,2
Akron,2
sambalpur,2
avon,2
bucuresti,2
GENERAL,SANTOS
vancouver,2
Clermont,2
multan,2
california,2
Drumbilla,2
usa,2
australia,2
Ballybrittas,2
Kinvarra,2
South,Dublin
Raheny,2
Cleveland,2
moskow,2
newmarket,2
Akure,2
Columbia,2
Montgomery,2
jammu,2
kuwait,2
Albert,Lea
tokyo,2
Tomhaggard,2
Whitehall,2
Milltown,Malbay
reading,2
Ferbane,2
Hartstown,2
glasgow,2
Indonesia,2
Tower,2
tallahassee,2
faridabad,2
Greenville,2
chicago,2
casa,2
Autaugaville,2
Louisville,2
n/a,2
auckland,2
zhengzhou,2
Alexandria,2
suva,2
KILKISHEN,2
Ohio,2
ChongQing,2
dablin,2
Stradone,2
austin,2
Templeogue,2
Damascus,2
Clarinbridge,2
Newcastlewest,2
Cork/Dublin,2
Enniskerry,2
Adelaide,2
Montreal,2
Owen,and
ottawa,2
Millstreet,2
Darndale,2
Rathowen,2
Achill,Sound
Kemmerer,2
jordan,2
Moody,2
amsterdam,2
Parkersburg,2
Castletownshend,2
philadelphia,2
Borrisoleigh,2
Jobstown,2
Doon,2
Moneymore,2
Piltown,2
here,2
Blarney,2
rajkot,2
kuala,lumpur
Abbey,2
Bradfordsville,2
Kilbaha,2
Rochfortbridge,2
Arvagh,2
Paradise,2
ny,2
Stamullen,2
manila,2
Mc,Crory
Abington,2
goa,2
Kansas,2
Albion,2
baghdad,2
Galway,City
Sheldon,2
Mountcharles,2
bangkok,2
Riverstown,2
klang,2
Newtown,Mount
Lakeland,2
caracas,2
Raphoe,2
Dooradoyle,2
Saint,Johnston
Greenland,Villas
bristol,2
pickering,2
Frankfort,2
Mountbellew,2
Windsor,2
Palmerstown,2
surat,2
Blacklion,2
Loughton,2
d,2
ca,2
AGADIR,2
emyvale,2
Boher,2
Lisbon,2
hollywood,2
milwaukee,2
amman,2
Amen,2
Ballyconneely,2
Bangor,2
Muff,2
Drimnagh,2
coimbatore,2
Callan,2
Churchtown,2
Termonbarry,2
ap,2
westmeath,2
Castlepollard,2
cochin,2
dallas,2
Drumlish,2
chandigarh,2
Clogher,2
ningbo,2
abuja,2
Montpelier,2
san,juan
Brooklyn,2
napoli,2
n,feroze
Omurtag,1
Seoul,1
Baskett,1
Co.,Limerick
batangas,1
Manassas,1
shanxi,1
naga,1
Monroe,1
detroit,1
Carraroe,1
jubail,1
cork,city
shreveport,1
Camden,Town
krack,1
rew,1
Sefrou,1
zichem,1
Castletownbere,1
lko,1
quebec,1
Crosshaven,1
THESSALONIKH,1
ed,sd
ksa,1
Ballycumber,1
Russian,Side
Carragh,1
Bahau,1
Short,Corville
oradea,1
Mullaghbawn,1
dwi_ght,1
Main,Road
damam,1
Fethard,1
Ukraine,1
Bohola,1
ney,york
Jaddah,1
Paulstown,1
dfhd',1
Doagh,1
nARASAPUR,1
BHOPAL,1
Columbus,1
Carrickroe,1
Wexford,County
Brittas,Bay
vic,1
ui,1
kapiti,1
cochic,1
Omeath,1
frack,1
Dunfanaghy,1
fdh,1
Beaumont,,Dublin
Lugoff,1
kentuky,1
Gortin,1
Oulart,1
peshawar,pakistan.,1
Ford,1
Dulles,1
Ballyhaise,1
Peoria,1
Kisii,1
Castlefinn,1
Trinity,1
yangon,1
Riverstick,1
vellore,1
The,Well
bobotown,1
sandycove,1
Midkiff,1
Limeirck,1
Nassau,1
Ovens,1
kalifornia,1
anoka,1
liuan,1
è¾½æº,1
accara,1
Montross,1
Reykjavik,Icelnd
dakar,1
split,1
tn,1
Nothingham,1
Jamnagar,,India
Yoshkar-Ola,1
hong,kong
ggffg,1
wsdsad,1
Warsaw,1
Raymondville,1
welimada,1
vvincy,1
sdfsdf,1
Wentzville,1
meltaro,1
westin,1
Ketchikan,1
wellington,1
abc,1
dsa,1
ungheni,1
York,1
Elmont,1
abidjan,1
suceava,1
airo,1
Gorham,1
Bowling,Green
Baker,1
Itaperuna,1
Exeter,1
00965,1
vantaa,1
not,far
Sterlitamak,1
Burgin,1
ASASASASASASAS,1
heaven,1
jedah,1
Pensacola,1
hejhej,1
hkjreretretretr,1
tantan,1
Allen,1
oshawa,1
Dewitt,1
Whitestown,1
swat,1
wexfrd,1
Galway,(City)
bokaro,1
dsgsg,1
xini,1
Greenore,1
benson,1
Bartow,1
tippereary,1
Guatemala,1
Grambling,1
rarwalpindi,1
Abie,1
Tara,1
Kety,1
Castle,Island
kurunegala,1
Kidare,1
Reiadh,1
kabul,1
daaden,1
df,1
tobago,1
Lyon's,Cross
ub,1
Santa,Monica
Mornington,1
Varna,1
antwerpen,1
Cong,1
gandhidham,1
malaga,1
Bulawayo,1
dubi,1
ottowa,1
callifornia,1
ontario,1
Caheragh,1
Gormanston,1
kuching,1
Ballinakill,1
Gaza,1
Carbury,1
68000,1
saddd,1
rivertown,1
ronco,1
Network,Enterprise
3432545,1
Clonmellon,1
Bhilwara,1
Brannockstown,1
ewrtw4e5rt,1
Cullohill,1
Blossvale,1
Kentucky,1
Arlington,Heights
Dolphins,Barn
Ashburn,1
Ongar,1
Folly,Beach
Wicklow,Town
Marino,1
gutenham,1
Northern,Point
Antioch,1
Black,Lion
seatlle,1
sex,1
Bruree,1
shaoyang,1
Ballygar,1
Shellsburg,1
South,Park
dharmshala,1
Miltown,Malbay
werw,1
Shannon,Airport
Northern,1
BGRU,1
Bun,1
Millersburg,1
Satara,1
Durrow,1
Hoisington,1
leiden,1
Merrillville,1
beijing,1
dunkirk,1
White,River
fife,1
Ramallah,1
Jamaica,1
gaya,1
haveli,1
WDG,1
jieyang,1
Usak,1
Glenswilly,1
Allenhurst,1
Melburn,1
Garden,City
caca,1
katowice,1
kadapa,1
Gdansk,1
wagga,wagga
pehowa,1
FRRG,1
GONDA,1
indiana,1
hoolywod,1
Crestview,1
shenyang,1
Adelphi,1
ADEL,1
SDZFZ,1
canada,1
21090,1
loly,1
moscow,1
Greytown,1
Wauseon,1
Linden,1
bucharest,1
<belfast,1
