pref_lookingfor,count
115849,
||,350
|67|,84
|80|,53
|48|,21
|56|,20
|67|80|,14
|79|,12
|56|80|,12
|63|67|,10
|67|74|,9
|70|,9
|48|80|,9
|48|47|80|,7
|48|56|80|,7
|74|,6
|63|80|,6
|56|67|,6
|69|,6
|47|67|80|,5
|65|,5
|70|80|,5
|67|69|,5
|80|67|,5
|63|,5
|67|74|80|,5
|53|,5
|48|47|56|,5
|70|74|,5
|48|56|,5
|48|70|80|,5
|50|,5
|63|67|80|,5
|48|56|70|80|,5
|68|,4
|67|78|,4
|81|68|70|80|,4
|48|56|81|68|70|74|80|,4
|56|67|80|,4
|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|,4
|77|,4
|56|81|68|,4
|48|53|,4
|67|70|,4
|75|,4
|48|74|80|,4
|47|,4
|48|67|80|,4
|55|56|80|,4
|76|,4
|48|57|,4
|56|68|,4
|48|53|56|57|58|70|,3
|56|68|74|80|,3
|48|56|50|80|,3
|48|56|68|70|,3
|79|80|,3
|48|68|70|80|,3
|81|68|80|,3
|48|81|68|80|,3
|56|75|80|,3
|48|67|74|,3
|66|,3
|67|74|50|80|,3
|81|68|,3
|72|,3
|48|53|47|56|57|80|,3
|70|74|80|,3
|48|47|56|80|,3
|56|81|80|,3
|48|81|68|50|80|,3
|56|57|80|,3
|56|77|,3
|49|63|65|76|,3
|48|70|,3
|48|53|49|57|61|63|67|81|68|70|71|74|75|76|50|80|,3
|48|56|81|,3
|56|63|80|,3
|48|47|67|,3
|48|55|57|58|60|63|67|76|50|79|,3
|68|80|,3
|48|55|81|68|74|,3
|66|67|,3
|48|81|68|70|80|,3
|56|81|,3
|80|70|74|,3
|56|74|,3
|67|79|,3
|80|63|,3
|48|56|81|68|70|50|80|,3
|48|56|75|80|,3
|48|67|70|,3
|56|70|,3
|48|47|70|,3
|48|58|59|67|75|,2
|48|56|74|,2
|71|80|,2
|48|58|73|79|80|,2
|48|49|55|57|59|61|63|65|67|68|70|72|74|76|50|79|53|47|56|58|60|62|64|66|81|69|71|73|75|77|78|80|,2
|47|77|80|,2
|48|56|61|67|68|73|77|78|,2
|63|65|67|,2
|73|,2
|49|64|76|,2
|48|70|74|77|80|,2
|56|70|80|,2
|53|49|55|60|62|68|70|74|50|78|,2
|47|57|81|,2
|48|56|57|81|74|80|,2
|58|67|68|77|,2
|56|67|70|74|,2
|48|47|56|57|80|,2
|63|66|67|,2
|67|76|,2
|81|74|80|,2
|48|53|59|66|81|76|77|,2
|48|70|76|80|,2
|55|80|,2
|49|47|,2
|64|66|74|77|,2
|53|58|67|69|76|50|80|,2
|68|70|80|,2
|48|47|55|70|74|80|,2
|48|63|68|70|,2
|67|69|80|,2
|48|78|,2
|48|49|47|,2
|48|56|67|81|68|,2
|56|81|68|70|74|,2
|48|47|56|81|68|70|80|,2
|77|80|,2
|53|67|,2
|47|80|,2
|56|77|80|,2
|48|47|81|68|74|80|,2
|53|47|56|57|63|76|50|80|,2
|63|66|,2
|68|70|75|80|,2
|49|59|63|64|81|69|70|76|77|79|,2
|47|67|76|77|50|80|,2
|48|60|81|68|80|,2
|48|56|68|80|,2
|70|74|77|,2
|66|67|74|76|80|,2
|56|58|59|60|,2
|48|56|68|70|74|77|80|,2
|66|67|81|75|,2
|67|70|74|,2
|47|56|58|,2
|77|80|74|,2
